timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_duration,suspicious
2024-01-01 00:00:00,192.168.1.103,10.0.0.89,18097,3389,TCP,9,2311,22,1
2024-01-01 00:01:00,192.168.1.180,10.0.0.12,37792,443,TCP,12,4824,23,0
2024-01-01 00:02:00,192.168.1.93,10.0.0.143,31706,80,TCP,11,4402,17,0
2024-01-01 00:03:00,192.168.1.15,10.0.0.59,33286,443,TCP,9,2656,44,0
2024-01-01 00:04:00,192.168.1.107,10.0.0.154,61509,8080,TCP,8,2280,21,0
2024-01-01 00:05:00,192.168.1.72,10.0.0.233,32382,80,TCP,10,2653,28,0
2024-01-01 00:06:00,192.168.1.189,10.0.0.109,59790,443,TCP,13,3855,38,0
2024-01-01 00:07:00,192.168.1.21,10.0.0.26,15313,443,TCP,11,2526,1,0
2024-01-01 00:08:00,192.168.1.103,10.0.0.47,50847,443,TCP,16,4739,25,0
2024-01-01 00:09:00,192.168.1.122,10.0.0.32,8951,445,ICMP,12,4498,64,0
2024-01-01 00:10:00,192.168.1.211,10.0.0.10,49354,80,TCP,7,1886,1,0
2024-01-01 00:11:00,192.168.1.215,10.0.0.16,2195,443,UDP,14,4031,15,0
2024-01-01 00:12:00,192.168.1.75,10.0.0.199,55767,80,UDP,16,3439,78,0
2024-01-01 00:13:00,192.168.1.203,10.0.0.145,12942,445,TCP,10,3187,13,0
2024-01-01 00:14:00,192.168.1.88,10.0.0.151,42927,80,TCP,13,4071,18,0
2024-01-01 00:15:00,192.168.1.117,10.0.0.26,40134,443,TCP,16,4850,119,0
2024-01-01 00:16:00,192.168.1.100,10.0.0.213,51625,8080,TCP,6,1734,6,0
2024-01-01 00:17:00,192.168.1.104,10.0.0.86,12953,8080,TCP,6,1712,2,0
2024-01-01 00:18:00,192.168.1.152,10.0.0.250,3563,443,TCP,9,2925,58,0
2024-01-01 00:19:00,192.168.1.131,10.0.0.135,37751,443,TCP,11,3284,60,0
2024-01-01 00:20:00,192.168.1.150,10.0.0.14,46975,443,TCP,10,3157,19,0
2024-01-01 00:21:00,192.168.1.53,10.0.0.79,23693,443,TCP,11,3418,21,0
2024-01-01 00:22:00,192.168.1.2,10.0.0.117,6456,80,TCP,10,3561,54,0
2024-01-01 00:23:00,192.168.1.88,10.0.0.7,21668,443,UDP,8,2670,40,0
2024-01-01 00:24:00,192.168.1.236,10.0.0.137,19769,443,TCP,9,2786,9,0
2024-01-01 00:25:00,192.168.1.158,10.0.0.115,56340,443,TCP,11,4135,1,0
2024-01-01 00:26:00,192.168.1.38,10.0.0.176,63569,3389,TCP,11,3531,19,1
2024-01-01 00:27:00,192.168.1.130,10.0.0.72,29252,445,TCP,8,2921,58,0
2024-01-01 00:28:00,192.168.1.192,10.0.0.242,53846,443,TCP,12,3964,67,0
2024-01-01 00:29:00,192.168.1.188,10.0.0.59,35545,80,TCP,9,1871,93,0
2024-01-01 00:30:00,192.168.1.21,10.0.0.215,58276,80,TCP,14,5113,63,0
2024-01-01 00:31:00,192.168.1.161,10.0.0.221,32727,445,TCP,8,2454,26,0
2024-01-01 00:32:00,192.168.1.204,10.0.0.82,27952,443,UDP,14,4163,17,0
2024-01-01 00:33:00,192.168.1.58,10.0.0.223,19346,80,UDP,9,2826,44,0
2024-01-01 00:34:00,192.168.1.22,10.0.0.222,58738,443,TCP,13,3675,40,0
2024-01-01 00:35:00,192.168.1.253,10.0.0.116,23384,443,TCP,12,3736,23,0
2024-01-01 00:36:00,192.168.1.236,10.0.0.167,63316,443,TCP,15,4056,2,0
2024-01-01 00:37:00,192.168.1.89,10.0.0.227,30079,443,TCP,10,3637,78,0
2024-01-01 00:38:00,192.168.1.49,10.0.0.146,43915,22,TCP,9,2648,18,0
2024-01-01 00:39:00,192.168.1.219,10.0.0.187,17400,445,TCP,4,1123,13,0
2024-01-01 00:40:00,192.168.1.59,10.0.0.234,7612,443,UDP,8,2030,29,0
2024-01-01 00:41:00,192.168.1.170,10.0.0.103,26024,3389,TCP,12,3761,33,1
2024-01-01 00:42:00,192.168.1.220,10.0.0.17,7328,8080,TCP,10,3093,7,0
2024-01-01 00:43:00,192.168.1.188,10.0.0.14,8369,443,TCP,14,4471,54,0
2024-01-01 00:44:00,192.168.1.208,10.0.0.159,30324,443,TCP,12,2983,10,0
2024-01-01 00:45:00,192.168.1.15,10.0.0.152,25283,443,TCP,17,3738,6,0
2024-01-01 00:46:00,192.168.1.190,10.0.0.227,26494,443,ICMP,13,4306,15,0
2024-01-01 00:47:00,192.168.1.190,10.0.0.108,24041,445,TCP,16,5987,39,0
2024-01-01 00:48:00,192.168.1.175,10.0.0.188,16376,445,TCP,13,3232,100,0
2024-01-01 00:49:00,192.168.1.190,10.0.0.45,64838,80,TCP,9,3415,49,0
2024-01-01 00:50:00,192.168.1.51,10.0.0.98,34389,80,TCP,13,4084,84,0
2024-01-01 00:51:00,192.168.1.108,10.0.0.131,20470,445,TCP,8,2397,4,0
2024-01-01 00:52:00,192.168.1.55,10.0.0.37,3360,8080,TCP,10,2801,2,0
2024-01-01 00:53:00,192.168.1.244,10.0.0.171,63056,445,TCP,8,1846,24,0
2024-01-01 00:54:00,192.168.1.64,10.0.0.168,10903,80,UDP,12,4192,10,0
2024-01-01 00:55:00,192.168.1.249,10.0.0.218,33340,443,TCP,11,2873,52,0
2024-01-01 00:56:00,192.168.1.131,10.0.0.183,34364,8080,TCP,12,3132,33,0
2024-01-01 00:57:00,192.168.1.229,10.0.0.215,8545,3389,TCP,14,4894,105,1
2024-01-01 00:58:00,192.168.1.51,10.0.0.108,7195,443,UDP,8,1646,8,0
2024-01-01 00:59:00,192.168.1.135,10.0.0.39,24505,22,TCP,10,2238,19,0
2024-01-01 01:00:00,192.168.1.21,10.0.0.15,19498,443,TCP,9,2691,20,0
2024-01-01 01:01:00,192.168.1.73,10.0.0.120,47784,443,TCP,5,1573,8,0
2024-01-01 01:02:00,192.168.1.167,10.0.0.241,56742,443,TCP,7,2269,26,0
2024-01-01 01:03:00,192.168.1.18,10.0.0.4,45653,445,TCP,7,1994,17,1
2024-01-01 01:04:00,192.168.1.132,10.0.0.93,46256,443,UDP,11,4691,17,0
2024-01-01 01:05:00,192.168.1.89,10.0.0.214,22032,53,TCP,10,2886,13,0
2024-01-01 01:06:00,192.168.1.60,10.0.0.153,2657,80,TCP,11,3173,1,0
2024-01-01 01:07:00,192.168.1.14,10.0.0.141,63429,3389,TCP,10,2601,22,1
2024-01-01 01:08:00,192.168.1.242,10.0.0.210,51693,445,UDP,13,3980,12,0
2024-01-01 01:09:00,192.168.1.250,10.0.0.161,13509,80,TCP,6,1984,1,0
2024-01-01 01:10:00,192.168.1.9,10.0.0.16,44641,22,TCP,9,3241,11,0
2024-01-01 01:11:00,192.168.1.90,10.0.0.237,4672,443,TCP,10,2255,9,0
2024-01-01 01:12:00,192.168.1.53,10.0.0.170,48969,80,TCP,16,4603,14,0
2024-01-01 01:13:00,192.168.1.130,10.0.0.108,14164,8080,TCP,7,2256,4,0
2024-01-01 01:14:00,192.168.1.84,10.0.0.126,61956,445,TCP,9,2964,21,0
2024-01-01 01:15:00,192.168.1.92,10.0.0.194,18945,443,TCP,10,3003,35,0
2024-01-01 01:16:00,192.168.1.111,10.0.0.55,15381,443,TCP,8,2616,29,0
2024-01-01 01:17:00,192.168.1.188,10.0.0.227,47160,443,TCP,6,1557,48,0
2024-01-01 01:18:00,192.168.1.199,10.0.0.170,4161,8080,TCP,11,4156,18,0
2024-01-01 01:19:00,192.168.1.172,10.0.0.34,57161,22,TCP,17,5943,21,0
2024-01-01 01:20:00,192.168.1.253,10.0.0.158,1121,443,UDP,6,1396,49,0
2024-01-01 01:21:00,192.168.1.8,10.0.0.251,12431,443,ICMP,14,3447,16,0
2024-01-01 01:22:00,192.168.1.175,10.0.0.247,31599,443,ICMP,17,4210,36,0
2024-01-01 01:23:00,192.168.1.35,10.0.0.13,13746,80,UDP,8,2671,17,0
2024-01-01 01:24:00,192.168.1.206,10.0.0.141,13948,8080,TCP,12,2829,16,0
2024-01-01 01:25:00,192.168.1.81,10.0.0.18,4774,80,TCP,6,1700,42,0
2024-01-01 01:26:00,192.168.1.164,10.0.0.160,28757,80,TCP,8,2581,5,0
2024-01-01 01:27:00,192.168.1.50,10.0.0.96,63051,445,TCP,8,2373,12,0
2024-01-01 01:28:00,192.168.1.104,10.0.0.227,9559,8080,TCP,8,2503,7,0
2024-01-01 01:29:00,192.168.1.132,10.0.0.123,58350,22,TCP,3,740,13,0
2024-01-01 01:30:00,192.168.1.2,10.0.0.39,25511,80,UDP,12,3956,7,0
2024-01-01 01:31:00,192.168.1.254,10.0.0.46,55589,80,TCP,7,1885,25,0
2024-01-01 01:32:00,192.168.1.134,10.0.0.244,31675,443,TCP,12,3405,48,0
2024-01-01 01:33:00,192.168.1.54,10.0.0.29,5690,80,UDP,13,4054,46,0
2024-01-01 01:34:00,192.168.1.106,10.0.0.190,49801,80,TCP,7,2136,13,0
2024-01-01 01:35:00,192.168.1.4,10.0.0.241,18018,443,TCP,10,3011,134,0
